exp_range,issue_type,evidence_doc,description,action
exp16-20,ckpt_loading,KB §2E,FOA CrossAttn no-KL — bulk0410 checkpoint loading/dimension mismatch (not architecture failure),Retest or archive; keep failure note
exp21-25,ckpt_loading,KB §2E,FOA FeatBank no-KL — bulk0410 checkpoint loading/dimension mismatch,Retest or archive; keep failure note
exp26-30,ckpt_loading,KB §2E,FOA MSAttn no-KL — bulk0410 checkpoint loading/dimension mismatch,Retest or archive; keep failure note
exp31-35,ckpt_loading,KB §2E,FOA ChannelAttn no-KL — bulk0410 checkpoint loading/dimension mismatch,Retest or archive; keep failure note
exp56-60,ckpt_loading,KB §2E,FOA v2 duplicate/fork — bulk0410 ckpt loading mismatch; standalone canonical v2 passes,Retest or archive
exp166-169,missing_ckpt,KB §2E,pvitfoa_v4/v5 — no checkpoint in bulk0416 table,Keep as missing; do not infer results
exp183-186,historical_status,KB §2E,initially queued/pending in 04/18 report; later master table includes 191-206,Mark CONFLICT/HISTORICAL — preserve both statuses
exp191-206,historical_status,KB §2E,same as exp183-186 — pending then later passed,Mark CONFLICT/HISTORICAL
exp390,viz_crash,report_f Finding 9,n9_0424 (A) — KeyboardInterrupt during matplotlib visualization after metrics saved (4/9 scenes viz),Keep metric (FOA_COS=-0.0755 valid); rerun visualization
exp391,foa_eval_pre_fix,report_f Finding 4,n9_0424 (A) — FOA_COS=-0.31 (negative; pre-fix bug suspected),Rerun under post-fix evaluator
exp396_earlypeek,foa_eval_pre_fix,report_f Finding 6,FOA_L1=0.5615 vs canonical 0.0123 — 45× discrepancy; pre-fix evaluator,Diagnostic only — canonical row is correct
exp396_earlypeek_ep20,foa_eval_pre_fix,report_f Finding 6,same pre-fix bug evidence,Diagnostic only
exp415,missing,report_g §1.1 + KB §2E,n4 drop-bin-5 — missing from report_g; planned in n4_bulk.sh lines 165-175,Keep as missing
exp416,no_metrics,report_g §1.1 + KB §2E,n4 drop-bin-6 — log incomplete/empty,Keep as failed
exp417,missing,report_g §1.1 + KB §2E,n4 drop-bin-7 — missing from report_g,Keep as missing
exp419,missing,report_g §1.1 + KB §2E,n4 alternating K=4 mask — missing from report_g,Keep as missing
exp358,vit_lr_divergence,report_f Finding 3,vit_baseline lr=5e-4 — catastrophic divergence (RMSE 1.3783 vs 1.2621 sibling at lr=1e-4),Cap ViT LR at ≤1e-4 in future sweeps
old_high_FOA_L1,foa_eval_pre_fix,report_f Finding 6,Any pre-fix FOA evaluator output where FOA_L1 in [0.3 0.6] range,Audit and rerun before publishing
exp78,incomplete_training,report_1_cleaning_exp,FOA crossattn — stalled at 4/40 epochs,Removed checkpoint per cleaning report 2026-04-16
js_variants,accidentally_removed_ckpt,report_1_cleaning_exp,feat_attn_foa_v2_js / foa_basic_js / foa_v2_js / sh_coeff_hierarch_foa_v2_js / full_run_foa_v2_js / full_run_foa,Need retraining per cleaning report
