Exp ID / Name,Status,Purpose,Input,Target,Model / Change,Losses,Key Params,Dataset / Split,Metrics,Main Finding,Failure Mode,Keep?,Source
exp350 / unet_baseline,PASSED,Baseline UNet,binaural spec,ERP depth,unet_baseline,BerHu + SILog depth unless noted,"lr=1e-3, bs=32, best_ep=12",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2337, AbsRel=0.4486, δ1=0.4952, δ2=0.7116, δ3=0.8329, Log10=0.1554, MAE=0.7857",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp351 / unet_baseline,PASSED,Baseline UNet,binaural spec,ERP depth,unet_baseline,BerHu + SILog depth unless noted,"lr=5e-4, bs=32, best_ep=16",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2386, AbsRel=0.4573, δ1=0.4992, δ2=0.7108, δ3=0.8310, Log10=0.1577, MAE=0.7940",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp352 / unet_baseline,PASSED,Baseline UNet,binaural spec,ERP depth,unet_baseline,BerHu + SILog depth unless noted,"lr=1e-4, bs=32, best_ep=12",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2326, AbsRel=0.4703, δ1=0.4992, δ2=0.7099, δ3=0.8276, Log10=0.1577, MAE=0.7894",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp353 / unet_baseline,PASSED,Baseline UNet,binaural spec,ERP depth,unet_baseline,BerHu + SILog depth unless noted,"lr=1e-3, bs=16, best_ep=16",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2319, AbsRel=0.4666, δ1=0.4972, δ2=0.7103, δ3=0.8301, Log10=0.1563, MAE=0.7873",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp354 / unet_baseline,PASSED,Baseline UNet,binaural spec,ERP depth,unet_baseline,BerHu + SILog depth unless noted,"lr=5e-4, bs=16, best_ep=12",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2117, AbsRel=0.4676, δ1=0.4988, δ2=0.7125, δ3=0.8329, Log10=0.1547, MAE=0.7808",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp355 / vit_baseline,PASSED,ViT from scratch,binaural spec,ERP depth,vit_baseline,BerHu + SILog depth unless noted,"lr=1e-4, bs=8, best_ep=40",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2621, AbsRel=0.4989, δ1=0.4777, δ2=0.6869, δ3=0.8144, Log10=0.1647, MAE=0.8213",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp356 / vit_baseline,PASSED,ViT from scratch,binaural spec,ERP depth,vit_baseline,BerHu + SILog depth unless noted,"lr=5e-5, bs=8, best_ep=40",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2631, AbsRel=0.5005, δ1=0.4836, δ2=0.6976, δ3=0.8199, Log10=0.1633, MAE=0.8170",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp357 / vit_baseline,PASSED,ViT from scratch,binaural spec,ERP depth,vit_baseline,BerHu + SILog depth unless noted,"lr=1e-4, bs=4, best_ep=20",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3107, AbsRel=0.4703, δ1=0.4574, δ2=0.6762, δ3=0.8077, Log10=0.1691, MAE=0.8403",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp358 / vit_baseline,PASSED,ViT from scratch,binaural spec,ERP depth,vit_baseline,BerHu + SILog depth unless noted,"lr=5e-4, bs=8, best_ep=36",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.3783, AbsRel=0.5664, δ1=0.4373, δ2=0.6512, δ3=0.7826, Log10=0.1839, MAE=0.9007",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp359 / vit_baseline,PASSED,ViT from scratch,binaural spec,ERP depth,vit_baseline,BerHu + SILog depth unless noted,"lr=1e-5, bs=8, best_ep=12",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2593, AbsRel=0.5130, δ1=0.4739, δ2=0.6830, δ3=0.8111, Log10=0.1660, MAE=0.8254",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp360 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=1e-4, bs=16, best_ep=8",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2204, AbsRel=0.4909, δ1=0.4945, δ2=0.7026, δ3=0.8247, Log10=0.1578, MAE=0.7944",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
exp360 / echodiffusion,PASSED,EchoDiffusion,binaural spec + raw waveform,ERP depth,echodiffusion,BerHu + SILog depth; Wav2Vec/CIDE conditioning,"lr=1e-4, bs=48, best_ep=20",n2_revisit_test; 3192 samples / 9 scenes; cache family e2314b68a4f5 per report_f/g,"RMSE=1.2473, AbsRel=0.4774, δ1=0.4972, δ2=0.7081, δ3=0.8250, Log10=0.1591, MAE=0.7992",Baseline-family HP sweep; use as noise/variance reference.,none reported,KEEP,supplemental_reports
