run_id,model_name,role,era,config_path,log_path,checkpoint_path,result_path,qualitative_path,git_commit,status,notes
exp241,Temporal energy-map input,ours,pre-radial,config/vit.yaml,logs/n1_train/exp241_n1_pvit_temap_lr1e4_lsh0.1.log;logs/n1_test/exp241_n1_pvit_temap_lr1e4_lsh0.1_test.log,checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp241_n1_pvit_temap_lr1e4_lsh0.1;checkpoints/pvit_n1_temap_input_soundspaces_BS2_Lr0.0001_AdamW_smoke_exp241,results/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp241_n1_pvit_temap_lr1e4_lsh0.1;results/pvit_n1_temap_input_soundspaces_BS2_Lr0.0001_AdamW_smoke_exp241,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
exp201,Temporal energy-map input,ours,pre-radial,,logs/n2_train/exp201_n2_temap_lr1e3_lsh0.1.log;logs/n2_test/exp201_n2_temap_lr1e3_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp201_n2_temap_lr1e3_lsh0.1,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp201_n2_temap_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0464, AbsRel=0.4380, δ1=0.4958"
exp179,FOA oracle nc3,ablation,pre-radial,config/foa.yaml,logs/summary_train/exp179_oracle_nc3_lr5e4_lsh0.1.log;logs/summary_test/exp179_oracle_nc3_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp179_oracle_nc3_lr5e4_lsh0.1;results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp179_oracle_nc3_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0477, AbsRel=0.4774, δ1=0.5002"
exp202,Temporal energy-map input,ours,pre-radial,,logs/n2_train/exp202_n2_temap_lr5e4_lsh0.1.log;logs/n2_test/exp202_n2_temap_lr5e4_lsh0.1_test.log,checkpoints/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp202_n2_temap_lr5e4_lsh0.1,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp202_n2_temap_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0497, AbsRel=0.4379, δ1=0.4985"
exp178,FOA oracle nc3,ablation,pre-radial,config/foa.yaml,logs/summary_train/exp178_oracle_nc3_lr1e3_lsh0.1.log;logs/summary_test/exp178_oracle_nc3_lr1e3_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp178_oracle_nc3_lr1e3_lsh0.1;results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp178_oracle_nc3_lr1e3_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0565, AbsRel=0.4216, δ1=0.4979"
exp203,Temporal energy-map input,ours,pre-radial,,logs/n2_train/exp203_n2_temap_lr1e3_lsh0.3.log;logs/n2_test/exp203_n2_temap_lr1e3_lsh0.3_test.log,checkpoints/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp203_n2_temap_lr1e3_lsh0.3,results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp203_n2_temap_lr1e3_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0568, AbsRel=0.4415, δ1=0.4980"
exp242,Temporal energy-map input,ours,pre-radial,config/vit.yaml,logs/n1_train/exp242_n1_pvit_temap_lr5e5_lsh0.1.log;logs/n1_test/exp242_n1_pvit_temap_lr5e5_lsh0.1_test.log,checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr5e-05_AdamW_exp242_n1_pvit_temap_lr5e5_lsh0.1,results/pvit_n1_temap_input_soundspaces_BS16_Lr5e-05_AdamW_exp242_n1_pvit_temap_lr5e5_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0586, AbsRel=0.4556, δ1=0.5038"
exp219,FOA oracle nc3,ablation,pre-radial,config/foa.yaml,logs/n3_train/exp219_pvit_oracle_nc3_lr1e4_lsh0.1.log;logs/n3_test/exp219_pvit_oracle_nc3_lr1e4_lsh0.1_test.log,checkpoints/pretrained_vit_foa_v6_oracle_nc3_soundspaces_BS32_Lr0.0001_AdamW_exp219_pvit_oracle_nc3_lr1e4_lsh0.1,results/pretrained_vit_foa_v6_oracle_nc3_soundspaces_BS32_Lr0.0001_AdamW_exp219_pvit_oracle_nc3_lr1e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0612, AbsRel=0.4400, δ1=0.4947"
exp196,N2 dual encoder,ours,pre-radial,,logs/n2_train/exp196_n2_dual_lr5e4_lsh0.1.log;logs/n2_test/exp196_n2_dual_lr5e4_lsh0.1_test.log,,results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp196_n2_dual_lr5e4_lsh0.1,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0614, AbsRel=0.4775, δ1=0.5112"
exp243,Temporal energy-map input,ours,pre-radial,config/vit.yaml,logs/n1_train/exp243_n1_pvit_temap_lr1e4_lsh0.3.log;logs/n1_test/exp243_n1_pvit_temap_lr1e4_lsh0.3_test.log,checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp243_n1_pvit_temap_lr1e4_lsh0.3,results/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp243_n1_pvit_temap_lr1e4_lsh0.3,,97b6668,delete_candidate,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0661, AbsRel=0.4265, δ1=0.4995"
