Exp ID / Name,Status,Purpose,Input,Target,Model / Change,Losses,Key Params,Dataset / Split,Metrics,Main Finding,Failure Mode,Keep?,Source
exp700_eda_input_lr5e4_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.0005; bs_or_arg4=32; extra=--foa-mode input --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp701_eda_input_lr1e4_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.0001; bs_or_arg4=32; extra=--foa-mode input --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp702_eda_input_lr5e5_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.00005; bs_or_arg4=32; extra=--foa-mode input --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp703_eda_input_lr1e3_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.001; bs_or_arg4=32; extra=--foa-mode input --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp704_eda_cond_lr5e4_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.0005; bs_or_arg4=32; extra=--foa-mode condition --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp705_eda_cond_lr1e4_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.0001; bs_or_arg4=32; extra=--foa-mode condition --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp706_eda_cond_lr5e5_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.00005; bs_or_arg4=32; extra=--foa-mode condition --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp707_eda_cond_lr1e3_bs32,PLANNED / NOT REPORTED,echodiffusion_ambi,UNKNOWN,ERP depth,config=echodiffusion_ambi; model.name=UNKNOWN,BerHu + SILog depth unless noted,script=scripts/echodiff_ambi_bulk.sh; lr=0.001; bs_or_arg4=32; extra=--foa-mode condition --rep-K 8 --lambda-sparsity 0.05 --lambda-sh 0.0,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp244_n1_pvit_trms_film_lr1e4,PLANNED / NOT REPORTED,Temporal RMS FiLM,binaural spec + temporal FOA RMS descriptor for FiLM,ERP depth,config=pvit_n1_temap_rms_film; model.name=UNKNOWN,Depth + λ_sh aux,script=scripts/n1_bulk.sh; lr=0.0001; bs_or_arg4=0.1; extra=,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
exp245_n1_pvit_eattn_lr1e4,PLANNED / NOT REPORTED,N3 energy attention,binaural spec,ERP depth,config=pvit_n1_temap_eattn; model.name=UNKNOWN,Depth + λ_sh (+ optional λ_energy),script=scripts/n1_bulk.sh; lr=0.0001; bs_or_arg4=0.1; extra=--lambda-energy 0.1,UNKNOWN,NOT REPORTED,Script/config-defined experiment; no metric in provided docs.,UNKNOWN / not completed in provided snippets,KEEP as planned/unreported,scripts_planned
