path,type,reason,replacement_or_canonical_file,safe_to_delete,notes
checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp241_n1_pvit_temap_lr1e4_lsh0.1,checkpoint,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
checkpoints/pvit_n1_temap_input_soundspaces_BS2_Lr0.0001_AdamW_smoke_exp241,checkpoint,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
results/pvit_n1_temap_input_soundspaces_BS16_Lr0.0001_AdamW_exp241_n1_pvit_temap_lr1e4_lsh0.1,result,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
results/pvit_n1_temap_input_soundspaces_BS2_Lr0.0001_AdamW_smoke_exp241,result,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
logs/n1_train/exp241_n1_pvit_temap_lr1e4_lsh0.1.log,log,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
logs/n1_test/exp241_n1_pvit_temap_lr1e4_lsh0.1_test.log,log,pre-radial era artifact for exp241,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0454, AbsRel=0.4516, δ1=0.4923"
checkpoints/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp201_n2_temap_lr1e3_lsh0.1,checkpoint,pre-radial era artifact for exp201,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0464, AbsRel=0.4380, δ1=0.4958"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp201_n2_temap_lr1e3_lsh0.1,result,pre-radial era artifact for exp201,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0464, AbsRel=0.4380, δ1=0.4958"
logs/n2_train/exp201_n2_temap_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp201,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0464, AbsRel=0.4380, δ1=0.4958"
logs/n2_test/exp201_n2_temap_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp201,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0464, AbsRel=0.4380, δ1=0.4958"
results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp179_oracle_nc3_lr5e4_lsh0.1,result,pre-radial era artifact for exp179,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0477, AbsRel=0.4774, δ1=0.5002"
results/unet_256_soundspaces_BS32_Lr0.0005_AdamW_exp179_oracle_nc3_lr5e4_lsh0.1,result,pre-radial era artifact for exp179,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0477, AbsRel=0.4774, δ1=0.5002"
logs/summary_train/exp179_oracle_nc3_lr5e4_lsh0.1.log,log,pre-radial era artifact for exp179,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0477, AbsRel=0.4774, δ1=0.5002"
logs/summary_test/exp179_oracle_nc3_lr5e4_lsh0.1_test.log,log,pre-radial era artifact for exp179,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0477, AbsRel=0.4774, δ1=0.5002"
checkpoints/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp202_n2_temap_lr5e4_lsh0.1,checkpoint,pre-radial era artifact for exp202,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0497, AbsRel=0.4379, δ1=0.4985"
results/unet_256_soundspaces_BS128_Lr0.0005_AdamW_exp202_n2_temap_lr5e4_lsh0.1,result,pre-radial era artifact for exp202,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0497, AbsRel=0.4379, δ1=0.4985"
logs/n2_train/exp202_n2_temap_lr5e4_lsh0.1.log,log,pre-radial era artifact for exp202,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0497, AbsRel=0.4379, δ1=0.4985"
logs/n2_test/exp202_n2_temap_lr5e4_lsh0.1_test.log,log,pre-radial era artifact for exp202,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0497, AbsRel=0.4379, δ1=0.4985"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp178_oracle_nc3_lr1e3_lsh0.1,result,pre-radial era artifact for exp178,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0565, AbsRel=0.4216, δ1=0.4979"
results/unet_256_soundspaces_BS32_Lr0.001_AdamW_exp178_oracle_nc3_lr1e3_lsh0.1,result,pre-radial era artifact for exp178,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0565, AbsRel=0.4216, δ1=0.4979"
logs/summary_train/exp178_oracle_nc3_lr1e3_lsh0.1.log,log,pre-radial era artifact for exp178,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0565, AbsRel=0.4216, δ1=0.4979"
logs/summary_test/exp178_oracle_nc3_lr1e3_lsh0.1_test.log,log,pre-radial era artifact for exp178,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0565, AbsRel=0.4216, δ1=0.4979"
checkpoints/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp203_n2_temap_lr1e3_lsh0.3,checkpoint,pre-radial era artifact for exp203,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0568, AbsRel=0.4415, δ1=0.4980"
results/unet_256_soundspaces_BS128_Lr0.001_AdamW_exp203_n2_temap_lr1e3_lsh0.3,result,pre-radial era artifact for exp203,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0568, AbsRel=0.4415, δ1=0.4980"
logs/n2_train/exp203_n2_temap_lr1e3_lsh0.3.log,log,pre-radial era artifact for exp203,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0568, AbsRel=0.4415, δ1=0.4980"
logs/n2_test/exp203_n2_temap_lr1e3_lsh0.3_test.log,log,pre-radial era artifact for exp203,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0568, AbsRel=0.4415, δ1=0.4980"
checkpoints/pvit_n1_temap_input_soundspaces_BS16_Lr5e-05_AdamW_exp242_n1_pvit_temap_lr5e5_lsh0.1,checkpoint,pre-radial era artifact for exp242,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0586, AbsRel=0.4556, δ1=0.5038"
results/pvit_n1_temap_input_soundspaces_BS16_Lr5e-05_AdamW_exp242_n1_pvit_temap_lr5e5_lsh0.1,result,pre-radial era artifact for exp242,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0586, AbsRel=0.4556, δ1=0.5038"
logs/n1_train/exp242_n1_pvit_temap_lr5e5_lsh0.1.log,log,pre-radial era artifact for exp242,,no,"pre-radial era; user rule: non-radial 실험은 전부 삭제 | metrics=RMSE=1.0586, AbsRel=0.4556, δ1=0.5038"
