Exp ID / Name,Status,Purpose,Input,Target,Model / Change,Losses,Key Params,Dataset / Split,Metrics,Main Finding,Failure Mode,Keep?,Source
exp241 / exp241_n1_pvit_temap_lr1e4_lsh0.1,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0195,test split; source=n1_test,"RMSE=1.0454, AbsRel=0.4516, δ1=0.4923",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp201 / exp201_n2_temap_lr1e3_lsh0.1,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0252,test split; source=n2_test,"RMSE=1.0464, AbsRel=0.4380, δ1=0.4958",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp179 / exp179_oracle_nc3_lr5e4_lsh0.1,PASSED,FOA oracle nc3,binaural spectrogram + GT FOA energy map,ERP depth,FOA oracle nc3,Depth + λ_sh auxiliary,from name; FOA_L1=0.0298,test split; source=summary_test,"RMSE=1.0477, AbsRel=0.4774, δ1=0.5002",Upper bound; not deployable under final constraint,none reported,KEEP,master_ranking
exp202 / exp202_n2_temap_lr5e4_lsh0.1,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0447,test split; source=n2_test,"RMSE=1.0497, AbsRel=0.4379, δ1=0.4985",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp178 / exp178_oracle_nc3_lr1e3_lsh0.1,PASSED,FOA oracle nc3,binaural spectrogram + GT FOA energy map,ERP depth,FOA oracle nc3,Depth + λ_sh auxiliary,from name; FOA_L1=0.0338,test split; source=summary_test,"RMSE=1.0565, AbsRel=0.4216, δ1=0.4979",Upper bound; not deployable under final constraint,none reported,KEEP,master_ranking
exp203 / exp203_n2_temap_lr1e3_lsh0.3,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0222,test split; source=n2_test,"RMSE=1.0568, AbsRel=0.4415, δ1=0.4980",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp242 / exp242_n1_pvit_temap_lr5e5_lsh0.1,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0182,test split; source=n1_test,"RMSE=1.0586, AbsRel=0.4556, δ1=0.5038",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp219 / exp219_pvit_oracle_nc3_lr1e4_lsh0.1,PASSED,FOA oracle nc3,binaural spectrogram + GT FOA energy map,ERP depth,FOA oracle nc3,Depth + λ_sh auxiliary,from name; FOA_L1=0.0160,test split; source=n3_test,"RMSE=1.0612, AbsRel=0.4400, δ1=0.4947",Upper bound; not deployable under final constraint,none reported,KEEP,master_ranking
exp196 / exp196_n2_dual_lr5e4_lsh0.1,PASSED,N2 dual encoder,binaural spec + FOA spectrogram via dual encoders,ERP depth,N2 dual encoder,Depth + λ_sh,from name; FOA_L1=0.0280,test split; source=n2_test,"RMSE=1.0614, AbsRel=0.4775, δ1=0.5112",See family taxonomy; exact row preserved.,none reported,KEEP,master_ranking
exp243 / exp243_n1_pvit_temap_lr1e4_lsh0.3,PASSED,Temporal energy-map input,binaural spec + temporal FOA energy maps,ERP depth,Temporal energy-map input,Depth + λ_sh aux; sometimes λ_energy,from name; FOA_L1=0.0136,test split; source=n1_test,"RMSE=1.0661, AbsRel=0.4265, δ1=0.4995",Excellent RMSE but test-time Ambisonics leakage for final setting,none reported,KEEP,master_ranking
exp187 / exp187_n2_6ch_lr1e3_lsh0.1,PASSED,N2 direct FOA spectrogram input,binaural spec + 4ch FOA spectrogram,ERP depth,N2 direct FOA spectrogram input,Depth + λ_sh aux,from name; FOA_L1=0.0359,test split; source=n2_test,"RMSE=1.0713, AbsRel=0.4728, δ1=0.5111",Strong metrics but uses FOA at test,none reported,KEEP,master_ranking
exp195 / exp195_n2_dual_lr1e3_lsh0.1,PASSED,N2 dual encoder,binaural spec + FOA spectrogram via dual encoders,ERP depth,N2 dual encoder,Depth + λ_sh,from name; FOA_L1=0.0285,test split; source=n2_test,"RMSE=1.0725, AbsRel=0.4642, δ1=0.5069",See family taxonomy; exact row preserved.,none reported,KEEP,master_ranking
exp230 / exp230_pvit_distill_lkd0.5,PASSED,Distillation from oracle,binaural spec,ERP depth,Distillation from oracle,Depth + λ_sh + λ_kd,from name; FOA_L1=0.0280,test split; source=n3_test,"RMSE=1.0735, AbsRel=0.4834, δ1=0.5029",See family taxonomy; exact row preserved.,none reported,KEEP,master_ranking
